UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,lat,lon
010520,AMAZONAS,LUYA,SANTA CATALINA,-6.056964680235884,-78.09351577862485
010521,AMAZONAS,LUYA,SANTO TOMAS,-6.569058774382198,-77.8924768330979
010522,AMAZONAS,LUYA,TINGO,-6.386865374686378,-77.94352545940352
010523,AMAZONAS,LUYA,TRITA,-6.144069005697748,-78.01938996994392
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,-6.372806139140431,-77.43895777284274
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,-6.547470744587278,-77.42001089875427
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,-6.38622244081721,-77.6654494121889
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,-6.435571362588642,-77.53056434580489
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,-6.553079362611617,-77.57603116187565
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,-6.351044326611164,-77.56608973656535
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,-6.291664058897069,-77.48511478733403
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,-6.498658533979178,-77.41364532780892
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,-6.4054073852704185,-77.3544311786075
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,-6.4552341768205315,-77.45841644334013
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,-6.491350711299844,-77.46715681425312
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,-6.207199405215647,-77.33422520948118
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,-5.8388419287953,-78.43999983290804
010702,AMAZONAS,UTCUBAMBA,CAJARURO,-5.614312778970217,-78.17477937642835
010703,AMAZONAS,UTCUBAMBA,CUMBA,-5.916724899619792,-78.6077074476802
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,-5.717310962327036,-78.6112459364152
010705,AMAZONAS,UTCUBAMBA,JAMALCA,-5.952462819662357,-78.23495795168898
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,-6.063471996600305,-78.41067329200416
010707,AMAZONAS,UTCUBAMBA,YAMON,-6.011997684863215,-78.52336763602668
020101,ANCASH,HUARAZ,HUARAZ,-9.570416218138073,-77.47153695594123
020102,ANCASH,HUARAZ,COCHABAMBA,-9.46607073780782,-77.85156208914552
020103,ANCASH,HUARAZ,COLCABAMBA,-9.576326208834766,-77.82164008629043
020104,ANCASH,HUARAZ,HUANCHAY,-9.731056538082708,-77.81933298426968
020105,ANCASH,HUARAZ,INDEPENDENCIA,-9.471358756032966,-77.4847154667612
020106,ANCASH,HUARAZ,JANGAS,-9.441329717147369,-77.60383851791448
020107,ANCASH,HUARAZ,LA LIBERTAD,-9.636772486629589,-77.71788433106958
020108,ANCASH,HUARAZ,OLLEROS,-9.621852345022136,-77.37164448993938
020109,ANCASH,HUARAZ,PAMPAS GRANDE,-9.645742831898263,-77.91031208614966
020110,ANCASH,HUARAZ,PARIACOTO,-9.48122860613697,-77.79461688340795
020111,ANCASH,HUARAZ,PIRA,-9.520963175274286,-77.69397729211333
020112,ANCASH,HUARAZ,TARICA,-9.392606742826645,-77.4820277822926
020201,ANCASH,AIJA,AIJA,-9.800421563207,-77.56762947149988
020202,ANCASH,AIJA,CORIS,-9.80759299596949,-77.7961470718624
020203,ANCASH,AIJA,HUACLLAN,-9.786084204926382,-77.67874420969495
020204,ANCASH,AIJA,LA MERCED,-9.703052594707238,-77.61542308421484
020205,ANCASH,AIJA,SUCCHA,-9.838001905745678,-77.6357616499377
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,-9.08183056558352,-77.00734457986283
020302,ANCASH,ANTONIO RAYMONDI,ACZO,-9.22012839701261,-76.99862085638631
020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,-9.027738943825057,-77.07204227693296
020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,-9.139328435282238,-77.00743961157742
020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,-9.116037133216022,-77.11292422010102
020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,-9.218430395529928,-77.04174041964592
020401,ANCASH,ASUNCION,CHACAS,-9.205581441121028,-77.39759835307797
020402,ANCASH,ASUNCION,ACOCHACA,-9.097208618068526,-77.40574774140987
020501,ANCASH,BOLOGNESI,CHIQUIAN,-10.178171264801644,-77.17923708924504
020502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,-10.30994905342988,-77.15975893226614
020503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,-10.203243748614009,-77.49986830936163
020504,ANCASH,BOLOGNESI,AQUIA,-9.965787850462474,-77.13096598232055
020505,ANCASH,BOLOGNESI,CAJACAY,-10.19044603145602,-77.34248183162367
020506,ANCASH,BOLOGNESI,CANIS,-10.334455160667682,-77.19097937883643
020507,ANCASH,BOLOGNESI,COLQUIOC,-10.301391888088217,-77.58553421682572
020508,ANCASH,BOLOGNESI,HUALLANCA,-9.917183020819417,-76.94381413919324
020509,ANCASH,BOLOGNESI,HUASTA,-10.113929430666886,-77.03153889806983
020510,ANCASH,BOLOGNESI,HUAYLLACAYAN,-10.246942886845785,-77.41077315657299
020511,ANCASH,BOLOGNESI,LA PRIMAVERA,-10.301866121354356,-77.10628886680688
020512,ANCASH,BOLOGNESI,MANGAS,-10.360927944493682,-77.10474595177133
020513,ANCASH,BOLOGNESI,PACLLON,-10.238924141739693,-77.00341192828891
020514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,-10.291529225977067,-77.20985360410985
020515,ANCASH,BOLOGNESI,TICLLOS,-10.232476889402237,-77.20803416926451
020601,ANCASH,CARHUAZ,CARHUAZ,-9.293596585318056,-77.63963603154309
020602,ANCASH,CARHUAZ,ACOPAMPA,-9.2900336060404,-77.61000981637433
020603,ANCASH,CARHUAZ,AMASHCA,-9.223525812341581,-77.6448838282242
020604,ANCASH,CARHUAZ,ANTA,-9.361036169679638,-77.63243030273392
020605,ANCASH,CARHUAZ,ATAQUERO,-9.29019361029523,-77.72929920425234
020606,ANCASH,CARHUAZ,MARCARA,-9.303713503294889,-77.49553823551915
020607,ANCASH,CARHUAZ,PARIAHUANCA,-9.356018710119232,-77.57419628451125
020608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,-9.343929309752928,-77.4330014266093
020609,ANCASH,CARHUAZ,SHILLA,-9.154423044452804,-77.56471859459741
020610,ANCASH,CARHUAZ,TINCO,-9.258939424704048,-77.66179691651304
020611,ANCASH,CARHUAZ,YUNGAR,-9.404083393871419,-77.630927960397
020701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,-9.097163460839834,-77.29096153751173
020702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,-9.011205714942273,-77.16957373254245
020703,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,-9.007665321738399,-77.25643536527001
020801,ANCASH,CASMA,CASMA,-9.518150871965426,-78.22319842687132
020802,ANCASH,CASMA,BUENA VISTA ALTA,-9.372987770771951,-78.14271067615681
020803,ANCASH,CASMA,COMANDANTE NOEL,-9.50979839593492,-78.35538801772825
020804,ANCASH,CASMA,YAUTAN,-9.505899514875184,-78.02030635677357
020901,ANCASH,CORONGO,CORONGO,-8.54891506344097,-77.92903309607775
020902,ANCASH,CORONGO,ACO,-8.50803281318831,-77.88348517247384
020903,ANCASH,CORONGO,BAMBAS,-8.60481091013455,-78.0468558962257
020904,ANCASH,CORONGO,CUSCA,-8.523293931394202,-77.78893288900906
020905,ANCASH,CORONGO,LA PAMPA,-8.678118116580373,-77.89299305223516
020906,ANCASH,CORONGO,YANAC,-8.625091272614634,-77.84715170629151
020907,ANCASH,CORONGO,YUPAN,-8.641490727469304,-77.97009542398746
021001,ANCASH,HUARI,HUARI,-9.323140319788983,-77.23289588832316
021002,ANCASH,HUARI,ANRA,-9.252511046177826,-76.90467141361133
021003,ANCASH,HUARI,CAJAY,-9.257030543658923,-77.13140927929541
021004,ANCASH,HUARI,CHAVIN DE HUANTAR,-9.655431962448917,-77.21172458465621
021005,ANCASH,HUARI,HUACACHI,-9.30853980696476,-76.92963218348208
021006,ANCASH,HUARI,HUACCHIS,-9.188562873738922,-76.80892066512472
021007,ANCASH,HUARI,HUACHIS,-9.426390309015684,-77.07815255837525
021008,ANCASH,HUARI,HUANTAR,-9.467825959996032,-77.23616539802853
021009,ANCASH,HUARI,MASIN,-9.33162017898548,-77.09253736991074
021010,ANCASH,HUARI,PAUCAS,-9.151015807757869,-76.88460907859846
021011,ANCASH,HUARI,PONTO,-9.347451246792188,-76.98490101313469
021012,ANCASH,HUARI,RAHUAPAMPA,-9.355630665674834,-77.06271083118823
021013,ANCASH,HUARI,RAPAYAN,-9.272109268451278,-76.77665516044502
021014,ANCASH,HUARI,SAN MARCOS,-9.628151768748232,-77.09189664113096
021015,ANCASH,HUARI,SAN PEDRO DE CHANA,-9.466577741691557,-76.9823416603552
021016,ANCASH,HUARI,UCO,-9.191126989363223,-76.93154122907468
021101,ANCASH,HUARMEY,HUARMEY,-10.173879415085258,-77.91863846593837
021102,ANCASH,HUARMEY,COCHAPETI,-9.985848407046957,-77.69227247603537
021103,ANCASH,HUARMEY,CULEBRAS,-9.822733904959374,-78.10360025297433
021104,ANCASH,HUARMEY,HUAYAN,-9.897480905683988,-77.74462525521992
021105,ANCASH,HUARMEY,MALVAS,-9.921036062970645,-77.66472744007862
021201,ANCASH,HUAYLAS,CARAZ,-9.02251944213936,-77.7497741696335
021202,ANCASH,HUAYLAS,HUALLANCA,-8.787924915258952,-77.91748365498343
021203,ANCASH,HUAYLAS,HUATA,-9.030069080500901,-77.87658249050006
021204,ANCASH,HUAYLAS,HUAYLAS,-8.889692658531892,-77.89401785594589
021205,ANCASH,HUAYLAS,MATO,-8.95802825535667,-77.8909653574519
021206,ANCASH,HUAYLAS,PAMPAROMAS,-9.143241852599589,-77.95702705772044
021207,ANCASH,HUAYLAS,PUEBLO LIBRE,-9.14870738571028,-77.81872212989036
021208,ANCASH,HUAYLAS,SANTA CRUZ,-8.908671136135082,-77.72257185332022
021209,ANCASH,HUAYLAS,SANTO TORIBIO,-8.8463979208637,-77.95249535817634
021210,ANCASH,HUAYLAS,YURACMARCA,-8.7619503276672,-77.74114476399416
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,-8.862121013584838,-77.35323421946902
021302,ANCASH,MARISCAL LUZURIAGA,CASCA,-8.82313856981177,-77.38766410661368
021303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,-8.886066257757484,-77.22034377193027
021304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,-8.78492107620783,-77.27720264419725
021305,ANCASH,MARISCAL LUZURIAGA,LLAMA,-8.909570894392708,-77.29014067866413
021306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,-8.967480878632891,-77.45637336840564
021307,ANCASH,MARISCAL LUZURIAGA,LUCMA,-8.92515189817804,-77.44517901798042
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,-8.893032826941438,-77.32456374471307
021401,ANCASH,OCROS,OCROS,-10.38061578174151,-77.36442466017503
021402,ANCASH,OCROS,ACAS,-10.518303910410655,-77.33945751805888
021403,ANCASH,OCROS,CAJAMARQUILLA,-10.320914104626455,-77.24003903264156
021404,ANCASH,OCROS,CARHUAPAMPA,-10.503472112913755,-77.22482887731232
021405,ANCASH,OCROS,COCHAS,-10.649256070744327,-77.48702968221947
021406,ANCASH,OCROS,CONGAS,-10.31937265129421,-77.42408168635563
021407,ANCASH,OCROS,LLIPA,-10.379112495892874,-77.21444590867709
021408,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,-10.415664151234585,-77.22843316190031
021409,ANCASH,OCROS,SAN PEDRO,-10.474723931375223,-77.56887137425018
021410,ANCASH,OCROS,SANTIAGO DE CHILCAS,-10.440157033849184,-77.35867259631472
021501,ANCASH,PALLASCA,CABANA,-8.403875618935263,-77.95931810284047
021502,ANCASH,PALLASCA,BOLOGNESI,-8.342726645297311,-78.06996249587789
021503,ANCASH,PALLASCA,CONCHUCOS,-8.258111062340557,-77.73064441695271
021504,ANCASH,PALLASCA,HUACASCHUQUE,-8.302836651038058,-77.99236628250837
021505,ANCASH,PALLASCA,HUANDOVAL,-8.334568465227287,-77.94559769945258
021506,ANCASH,PALLASCA,LACABAMBA,-8.265803451770102,-77.90553174842275
021507,ANCASH,PALLASCA,LLAPO,-8.51561783072815,-78.03028800848062
021508,ANCASH,PALLASCA,PALLASCA,-8.263448541585587,-78.0048510025236
021509,ANCASH,PALLASCA,PAMPAS,-8.138514857951156,-77.7988539285266
021510,ANCASH,PALLASCA,SANTA ROSA,-8.568456668058294,-78.13844293154519
021511,ANCASH,PALLASCA,TAUCA,-8.446069215603979,-78.05556827425036
021601,ANCASH,POMABAMBA,POMABAMBA,-8.79036938395386,-77.50652626494531
021602,ANCASH,POMABAMBA,HUAYLLAN,-8.889716991091264,-77.46627867415711
021603,ANCASH,POMABAMBA,PAROBAMBA,-8.612757490488491,-77.39531872757425
021604,ANCASH,POMABAMBA,QUINUABAMBA,-8.702325820237524,-77.34369441092615
021701,ANCASH,RECUAY,RECUAY,-9.706464962467589,-77.44743018907157
021702,ANCASH,RECUAY,CATAC,-9.911212262762275,-77.31705774424347
021703,ANCASH,RECUAY,COTAPARACO,-9.937555284493964,-77.54093139710841
021704,ANCASH,RECUAY,HUAYLLAPAMPA,-10.057731768108239,-77.51468898741885
021705,ANCASH,RECUAY,LLACLLIN,-10.108037042810237,-77.58748703799588
021706,ANCASH,RECUAY,MARCA,-10.074221904221234,-77.45434158349362
021707,ANCASH,RECUAY,PAMPAS CHICO,-10.094083046214894,-77.37323438146764
021708,ANCASH,RECUAY,PARARIN,-10.11921459516648,-77.65381708078397
021709,ANCASH,RECUAY,TAPACOCHA,-10.002753297012726,-77.53988650540522
021710,ANCASH,RECUAY,TICAPAMPA,-9.737832602436503,-77.39228468684782
021801,ANCASH,SANTA,CHIMBOTE,-8.877596726765171,-78.40111584519683
021802,ANCASH,SANTA,CACERES DEL PERU,-8.961001499005388,-78.07641491572666
021803,ANCASH,SANTA,COISHCO,-9.027582498320987,-78.61845190926958
021804,ANCASH,SANTA,MACATE,-8.776546588572938,-78.12199016629407
021805,ANCASH,SANTA,MORO,-9.163291200603155,-78.12397128160178
021806,ANCASH,SANTA,NEPEÑA,-9.141492776026475,-78.30319186421842
021807,ANCASH,SANTA,SAMANCO,-9.279460224405137,-78.44250362310105
021808,ANCASH,SANTA,SANTA,-8.99221168175307,-78.60925435442158
021809,ANCASH,SANTA,NUEVO CHIMBOTE,-9.100105627724991,-78.43615621999288
021901,ANCASH,SIHUAS,SIHUAS,-8.540291178723725,-77.61543488508825
021902,ANCASH,SIHUAS,ACOBAMBA,-8.300208554351407,-77.5607496401179
021903,ANCASH,SIHUAS,ALFONSO UGARTE,-8.467756261757893,-77.44352126710614
021904,ANCASH,SIHUAS,CASHAPAMPA,-8.587811063145619,-77.65320529067591
021905,ANCASH,SIHUAS,CHINGALPO,-8.362876100090652,-77.64598364027785
021906,ANCASH,SIHUAS,HUAYLLABAMBA,-8.512134394546669,-77.53005438448436
021907,ANCASH,SIHUAS,QUICHES,-8.395979300405083,-77.5097555254601
021908,ANCASH,SIHUAS,RAGASH,-8.45479681777837,-77.69603118831148
021909,ANCASH,SIHUAS,SAN JUAN,-8.671637206196941,-77.62047677131528
021910,ANCASH,SIHUAS,SICSIBAMBA,-8.630532178386966,-77.52928401020417
022001,ANCASH,YUNGAY,YUNGAY,-9.093486438215072,-77.66640122087183
022002,ANCASH,YUNGAY,CASCAPARA,-9.316127044881215,-77.83271319107534
022003,ANCASH,YUNGAY,MANCOS,-9.192299395827959,-77.65013481033986
022004,ANCASH,YUNGAY,MATACOTO,-9.177489050520768,-77.75896537445652
022005,ANCASH,YUNGAY,QUILLO,-9.316865854316802,-77.94903144184968
022006,ANCASH,YUNGAY,RANRAHIRCA,-9.160101588701327,-77.69667203308144
022007,ANCASH,YUNGAY,SHUPLUY,-9.344445041678462,-77.78949854262072
022008,ANCASH,YUNGAY,YANAMA,-9.024115790550733,-77.49805461667526
030101,APURIMAC,ABANCAY,ABANCAY,-13.635841747857894,-72.87161184138245
030102,APURIMAC,ABANCAY,CHACOCHE,-13.99742638788268,-72.99128874675311
030103,APURIMAC,ABANCAY,CIRCA,-13.974194203149066,-72.89152131854578
030104,APURIMAC,ABANCAY,CURAHUASI,-13.638853111212372,-72.61811949699626
030105,APURIMAC,ABANCAY,HUANIPACA,-13.476091586399829,-72.9752900613519
030106,APURIMAC,ABANCAY,LAMBRAMA,-13.804020396875003,-72.78813370589036
030107,APURIMAC,ABANCAY,PICHIRHUA,-13.78478770767198,-73.03173181371665
030108,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,-13.488845690241147,-72.81400256023454
030109,APURIMAC,ABANCAY,TAMBURCO,-13.578136822726458,-72.87196390313055
030201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,-13.768377825219419,-73.38791239939849
030202,APURIMAC,ANDAHUAYLAS,ANDARAPA,-13.49729316138254,-73.38857733134941
030203,APURIMAC,ANDAHUAYLAS,CHIARA,-13.87984506235558,-73.61556516275752
030204,APURIMAC,ANDAHUAYLAS,HUANCARAMA,-13.656863111239183,-73.02830869656906
030205,APURIMAC,ANDAHUAYLAS,HUANCARAY,-13.769623405834743,-73.54719967636379
030206,APURIMAC,ANDAHUAYLAS,HUAYANA,-13.989590115313447,-73.5509681907319
030207,APURIMAC,ANDAHUAYLAS,KISHUARA,-13.66525218540733,-73.16247935390707
030208,APURIMAC,ANDAHUAYLAS,PACOBAMBA,-13.536040924167404,-73.12969547855594
030209,APURIMAC,ANDAHUAYLAS,PACUCHA,-13.59819147176496,-73.3092908354212
030210,APURIMAC,ANDAHUAYLAS,PAMPACHIRI,-14.296042841681166,-73.47852551685517
030211,APURIMAC,ANDAHUAYLAS,POMACOCHA,-14.096280498814293,-73.49209823465215
030212,APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,-13.789481273275108,-73.65758288352585
030213,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,-13.716632485731639,-73.27405508952864
030214,APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,-13.962148223023474,-73.60301304527104
030215,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,-13.661157064882351,-73.54626954516512
030216,APURIMAC,ANDAHUAYLAS,TALAVERA,-13.627505076275913,-73.45302832291397
030217,APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,-13.969235276510851,-73.45819964297918
030218,APURIMAC,ANDAHUAYLAS,TURPO,-13.790594292413166,-73.47220459338676
030219,APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,-13.511546116735502,-73.27940616465712
030220,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,-13.809255115217832,-73.323963710873
030301,APURIMAC,ANTABAMBA,ANTABAMBA,-14.517996586003536,-72.75011937084778
030302,APURIMAC,ANTABAMBA,EL ORO,-14.157808964329979,-73.03521627055046
030303,APURIMAC,ANTABAMBA,HUAQUIRCA,-14.340271171144368,-72.78668837932582
030304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,-14.558610844407358,-72.90838830106705
030305,APURIMAC,ANTABAMBA,OROPESA,-14.43599235108396,-72.52312605803291
030306,APURIMAC,ANTABAMBA,PACHACONAS,-14.219005832643338,-72.97912165571066
030307,APURIMAC,ANTABAMBA,SABAINO,-14.322972322772058,-72.98015812159002
030401,APURIMAC,AYMARAES,CHALHUANCA,-14.294255319304536,-73.22928360626273
030402,APURIMAC,AYMARAES,CAPAYA,-14.115599230423452,-73.35385519949907
030403,APURIMAC,AYMARAES,CARAYBAMBA,-14.419368168941817,-73.09450348019158
030404,APURIMAC,AYMARAES,CHAPIMARCA,-14.007806022101011,-73.08677557925164
030405,APURIMAC,AYMARAES,COLCABAMBA,-13.976933743538936,-73.25825885660282
030406,APURIMAC,AYMARAES,COTARUSE,-14.588920026375902,-73.29517504821607
030407,APURIMAC,AYMARAES,IHUAYLLO,-14.097937529345678,-73.2440329587032
030408,APURIMAC,AYMARAES,JUSTO APU SAHUARAURA,-14.130439304058337,-73.19781757522298
030409,APURIMAC,AYMARAES,LUCRE,-13.915877052364602,-73.24545394640313
030410,APURIMAC,AYMARAES,POCOHUANCA,-14.22401158010658,-73.08767778769882
030411,APURIMAC,AYMARAES,SAN JUAN DE CHACÑA,-13.884987464050093,-73.19382058849881
030412,APURIMAC,AYMARAES,SAÑAYCA,-14.332566343834264,-73.35826533129806
030413,APURIMAC,AYMARAES,SORAYA,-14.170751215461515,-73.28400703902041
030414,APURIMAC,AYMARAES,TAPAIRIHUA,-14.105619951622414,-73.11793673546046
030415,APURIMAC,AYMARAES,TINTAY,-13.90349646982621,-73.1344839142182
030416,APURIMAC,AYMARAES,TORAYA,-14.024655301920506,-73.3137272468404
030417,APURIMAC,AYMARAES,YANACA,-14.23132525743058,-73.1598036025582
030501,APURIMAC,COTABAMBAS,TAMBOBAMBA,-13.917070842748503,-72.21291567850247
030502,APURIMAC,COTABAMBAS,COTABAMBAS,-13.751282544578029,-72.3412863373726
030503,APURIMAC,COTABAMBAS,COYLLURQUI,-13.918969774979116,-72.39526049838541
030504,APURIMAC,COTABAMBAS,HAQUIRA,-14.277169982326296,-72.2305867589181
030505,APURIMAC,COTABAMBAS,MARA,-14.045141275471561,-72.1153708663181
030506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,-14.171437166623594,-72.31041313338754
030601,APURIMAC,CHINCHEROS,CHINCHEROS,-13.518638797966087,-73.74817706875268
030602,APURIMAC,CHINCHEROS,ANCO_HUALLO,-13.544299826771102,-73.66927139851319
030603,APURIMAC,CHINCHEROS,COCHARCAS,-13.611554612914949,-73.74785030522969
